first_author,year,title,country,LME ID,LME,distance_to_shore,depth,reference,wave_height_average_m,reference,sst_c,reference,biodiversity_indicator,reference,nutrients_n_p_chla,reference,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
Onyango et al,2020,Is Demonstrating the Concept of Multi-Use Too Soon for the North Sea? Barriers and Opportunities from a Stakeholder Perspective,North Sea,22,North Sea,,,,,,,,,,,,national variability. Key barriers include lack of MU-friendly policies,national variability.,requires MSP to process to enable co-existence of compatible actvities; discusses that some nations doNOT include Oil and gas as potential multiple use contributors,NOT EXACT #. discusses availbility of economic incentives (only 1 nation had these) and other economic Drivers/barriers.,notes oppoition to aquaculture/OWF as a barrier,notes oppoition to aquaculture as a barrier,yes,yes,yes,yes,yes,User Conflicts,,examined 10 MU combinations (3 involved aquaculture). Notes the lack of general MU definition. There is no way to uniformly do MU b/c each nation has different regulations and the NS is a highly contested and crowded space (user conflicts)
van den Burg et al,2020,Development of multi-use platforms at sea: Barriers to realising Blue Growth,variable,n/a,N/A,,,,,,,,,,,,,,13 legal barriers were identified (6 hamper MUP development and 5 represent the lack of legislation to develop MUPs),NOT EXACT #. major economic barrier were identified (120 barriers across 6 categories),notes that social dynamics are given less attention.,25 social barriers were identified,yes,yes,yes,no,yes,Barriers,,"FOCUSES ON BARRIERS TO MUP. qualitative review of 21 multi-use projects. focus on each project's contrbution to ""Blue Growth"". "
van Hoof,2020,Can multi-use of the sea be safe? A framework for risk assessment of multi-use at sea,variable,22,North Sea,,,,,,,,,,,,,,Risk. Calls for collaboration across organizations to manage correctly.,,,,yes,yes,yes,no,yes,Safety/Risk,Schupp et al. (2019; p4) define such multi-use as:” … the joint use of resources in close geographic proximity by either a single user or multiple users. It is an umbrella term that covers a multitude of use combinations in the marine realm and represents a radical change from the concept of exclusive resource rights to the inclusive sharing of resources and space by one or more users.”,
Bocci et al,2019,Multi-use of the sea: A wide array of opportunities from site-specific cases across Europe,Europe (variable),other,Other,,,,,,,,,,,,Drivers listed but NO barriers,"""the existence of a legal, regulatory and planning framework supporting and enabling MU is a key component for real MU development and operation.""",,NOT EXACT #. but drivers and barriers noted,,most social barriers were linked to aquaculture,yes,yes,yes,yes,yes,Recommendations,,
Calado et al,2019,Multi-uses in the Eastern Atlantic: Building bridges in maritime space,East Atlantic,25,Iberian Coastal,,,,,,,,,,,,Calls for MSP and maritime planning,"""In other cases, despite national legislation and marine plans not addressing the MU concept, some sectoral strategic documents refer to the combination of activities or synergies amongst users. An example is the Irish Offshore Renewable Development Plan (Irish Government/ Department of Communications Energy and Natural Resources, 2014), which sets forward a list of project-level mitigation measures addressing interactions with other maritime users""",need for international collaboration,,calls for early stakeholder engagement,conflicts with maritime activities,yes,yes,yes,yes,yes,Recommendations,,
Schupp et al,2019,Toward a Common Understanding of Ocean Multi-Use,European Seas,n/a,N/A,,,,,,,,,,,,,,"there is no ""one size fits all"" approach",NOT Exact #,,msp can manage user conflicts;,yes,yes,yes,no,yes,Typology for 'multi-use',refers to as symbiosis,Builds a typology and provides definition for multi use
Astariz and Iglesias,2017,The collocation feasibility index – A method for selecting sites for co-located wave and wind farms,North Sea,22,North Sea,,20-30 km,pg 819 (referring to depth of best site for co-location),x,pg 816-817 (included avg and significant wave heights for all sites),,,,,,,,,,,,,no,yes,yes,no,no,Siting,,Says that it will incorporate economic factors but doesn't really do that?
Bas et al,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Baltic Sea,Baltic Sea (Kriegers Flak),23,Baltic Sea,,12-15 m,(depth of net cages for aquaculture),,,,,x,pg 35,,,"Discusses wind and aquaculture and env't separately:
Wind: section 3.2.3.1 ""In general, the establishment of offshore wind turbines can follow two different procedures: a government tender procedure run by the Danish Energy Agency; or an open-door procedure.""
Aquaculture: seciotn 3.2.3.2.
Environmental Concerns: section 3.2.3.3.","""The Danish Government provides the main conditions for offshore wind parks in the Promotion of Renewable Energy Act (Act no 1392 27th December 2008), and the Danish Electricity Act (Danish Energy Policy 2012).""",,"Wind: ""The total price of the wind farm is expected to be between 2.0 and 2.7 billion Euro, whereof the grid connection is budgeted at 0.47 billion Euro."" 
Salmon farming: ""in existing 3000 tons farms, production costs are 2.85 Euro per kg and it is expected to have slightly lower production costs in a larger farm, but also slightly higher cost of insurance. Expected revenues from famring is 36 million Euro per year."" section 3.4
Also discusses job creation.","Discusses ""vulnerable"" persons due to this project.","Public perception. NGOs are opposed to auqauculture (more so than wind) due to emission of nutrients and the interaction with habitats and species. Later discusses need for EIA report. Also, lack of data to complete full social cost benefit analysis.",yes,yes,no,no,no,Case study,no,MERMAID  project publication
Koundouri et al,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Mediterranean Sea,Mediterranean Sea,26,Mediterranean Sea,,16 m,pg 89 (depth of site is 16 m),1.25 m,pg 89 ( 1.25 m),x,pg 89 (14 +/- 6 °C),x,pg 93 (concerns of aquaculture biodiversity),x,"pg 90, 93-95 (concerns of nutrient loading into environment due to aquaculture farms)",,"Lists organizations of both aquaculture and offshore energy (Sections 6.2.3.1 and 6.2.3.2)
""It has to be stressed that aquaculture in the European Union (EU) is regulated by strict laws.""
","no regional or national legislation regulating renewable offshore energy in the region. No national or regional legislation exists to regulate subsidies for such
a project. Unlike other energy sectors, wind energy generation is at an early stage of
development and there is no established industry consensus on codes and
standards.","""The Northern Adriatic Sea site’s wind-fish farm requires 44 million euros for the establishment of the wind farm and it is expected to produce 1 million euros per year for 20 GWh per year in energy extraction. However, no more information is available. Hence, it was not possible to run the social cost benefit analysis for this function.""
""Given the current market status (prices, days payable/receivable etc) the total fish farming investment is estimated at 18.8 million euros and is expected to break even at year 13""","Discusses ""vulnerable"" persons due to this project: coastal communities of Venice, energy industry suppliers, transportation industry, machinery industry, etc","Environmental impacts (table 6.3 and 6.4)
ALSO seems that this analysis yielded that this multi use solution was not viable: ""Our preliminary, although tentative, analysis suggests that in the short term using a multi-use design with wind energy and fish production would be financially not sustainable, due to both low energy and fish production, and would bear high environmental risks. However, in the long-run, coastal and marine spaces might become more limited, and then going offshore will become more important to avoid unplanned and crowded uses in the future.""",yes,yes,yes,no,no,Case study,no,MERMAID  project publication. Somewhat negative for co-location of fish farming. WOuld still need subsidies
Simal et al,2017,Socio-economic Assessment of a Selected Multi-use Offshore Site in the Atlantic,Cantabrian Sea (Cantabria Offshore Site),other,Other,,,,,,,,,,,,The administrative procedures include the following processes: (a) administrative authorization which is set by the Royal Decree No. 1955/2000; (b) environmental impact assessment of the project; (c) environmental impact study (available Environmental Impact Assessment (EIA) for similar project in the region: Plan Eólico de Cantabria); (d) identification and justification of the sea-land public domain to be occupied; (e) approval of the construction project; (f) start-up certificate.,"Marine energy in Spain includes:
(a) the Renewable Energies Plan 2011–2020 (PER)
(b) the Royal Decree No. 661/2007
(c) the Royal Decree No. 1028/2007
(d) Administrative procedures","""The majority of proposals made for the Spanish Coast site are oriented to energy production. Thus, costs cannot be shared among sectors, while the financial conditions of the business operation depend critically on policy regulations determined by the public sector.""","Table 5.3 Benefit Transfer Application for the Cantabria Offshore Site.
Section 5.4 also concludes by saying that the wind/wave combination is highly profitable, while just the wind option is not","""stakeholders referred that in general there is a high risk on geotechnical failure and failure with land connections."" 
""There is also great uncertainty on the regulatory conditions for the affected sectors.""","""The sensitivity of local society towards the aesthetic and functional impact of the proposed facilities is rather high and negative.""
Other barriers: 
(a) Lack of social consensus
(b) Need for consistent time scheduling for decisions and intermediate steps
(c) Regulatory risks connected with energy policy in Spain and Europe
(d) Current controversies on external energy dependence may promote marine
energy production in future.",no,yes,yes,no,no,Case study,no,MERMAID  project publication. Suggests that technology exists to do this and it SHOULD be profitable
Soderqvist,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the North Sea,Gemini,22,North Sea,,,,,,,,,,,,"Outlined in ""Policy Document North Sea 2009 -2015"". ""However, this has not yet resulted in establishing a regulatory framework for multi-use.""",Extensive regulations outlined for renewable energy generation in the Netherlands. Also there has been more prelimilary reference to Multi use of marine areas in national law,"""Already awarded permits for offshore wind farms such as the Gemini site are only for single-use. The absence of licences for multi-use production is a major obstacle. Also, as was mentioned above, there are no areas designated for offshore aquaculture in the Dutch spatial plans for the North Sea.""",Table 4.6 for both wind and mussel costs. Shows that it would be profitable. Wind farms would need subsidies,,lack of trust amongst potential users. Issues with fishermen who will lose fishing grounds. Environmental impacts,yes,yes,no,no,no,Case study,no,MERMAID  project publication. Suggests that co locating bivalve cultivation with wind generation would be socio econoically and finacially viable
Jansen et al,2016,The feasibility of offshore aquaculture and its potential for multi-use in the North Sea,Dutch North Sea,22,North Sea,,11-40 m,"required depths for: mussel (>20 m), seaweed (>5-8 m)",12 m,max height for North Sea,6- 18 °C,temp range in North Sea,,,</= 20 μg/1,pg 736 (max 20 μg/1),"""This requires the support of long-term investment potential, and long-term licensing and policies.""",,"""Despite the interest in combining functions in policy documents (MIE 2014), laws and regulations do not foresee in such combinations. Until recently, the concessions granted to offshore wind park operators made co-use illegal.""",,Best case scenario for stakeholder support would be to utilize co-management (concept of a covenant),,yes,yes,no,no,yes,Recommendations,no,Calls on the Dutch gov't to create these opportunites through subsities and MSP and co-management
Le Heron et al,2016,Non-sectarian scenario experiments in socio-ecological knowledge building for multi-use marine environments: Insights from New Zealand's Marine Futures project,New Zealand,46,New Zealand Shelf,,,,,,,,,,,,current frameworks are failing,,,,Supportive if there is bottom-up trust and management,Property rights,no,no,no,no,no,Stakeholder assessment,no,Used a workshop to gather insights from stakeholders and the public
van den Burg et al,2016,Participatory Design of Multi-Use Platforms at Sea,European Seas,other,Other,,,,,,,,,,,,,,,,,,yes,yes,yes,no,no,Stakeholder assessment,no,Participatory design focused on MERMAID projects
