first_author,year,title,country,lme,location,distance_to_shore,depth,reference,ecology,governance,socioecon,wave_height_average_m,reference,sst_c,reference,biodiversity_indicator,reference,nutrients_n_p_chla,reference,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
Abhinav et al,2020,"Offshore multi-purpose platforms for a Blue Growth: A technological, environmental and socio-economic review",,n/a,,,,,1,0,1,,,,,,,,,,,,,"Wave/wind: job creation, low carbon impact, etc
aquaculture: food production","ORE: visual obstruction and conflict with fishermen
WEC: fishermen and other ocean space users
Aquaculture: workers rights, environmental impacts",yes,yes,yes,no,yes,,,
Astariz and Iglesias,2017,"The collocation feasibility index, A method for selecting sites for co-located wave and wind farms",North Sea,North Sea,variable,,20-30 km,pg 819 (referring to depth of best site for co-location),1,0,0,x,pg 816-817 (included avg and significant wave heights for all sites),,,,,,,,,,,,,no,yes,yes,no,no,Siting,,Says that it will incorporate economic factors but doesn't really do that?
Astariz and Iglesias,2016,Selecting optimum locations for co-located wave and wind energy farms. Part I: The Co-Location Feasibility index,North Sea,North Sea,West Danish coast of the North Sea,10-30 km,x,"The next step for offshore wind energy. A report by the European wind energy association (EWEA, 2013); On some of the design aspects of wind energyconversion systems (Bansal et. al, 2002)",1,1,0,x,"WaveWatch III, data from Horns Rev wind farms",,,,,,,,European Commission has proposed directives for an MSP and Integrated Coastal Zone Management (ICZM),"""there is no EU legislation that directly regulates offshore energy.""",,,,no,yes,yes,no,no,Siting,,
Azzellino,2019,Combined Exploitation of Offshore Wind and Wave Energy in the Italian Seas: A Spatial Planning Approach,"Italian Seas (Tyrrehnian, Sicily, Ionian, Adriatic, Ligurian, Sardinia)",Mediterranean Sea,,,50-350 m,,1,0,0,x,ECMWF ERA-Interim Data Set (www.ecmwf.int/en/research/climate-reanalysis/era-interim),,,,,,,,,,,,,no,yes,yes,no,no,,,"Determined areas best for co-location through spatial data, levels of vulnerability in area, and creating an overall score that give the best results while maintaining the health of the system. Found that optimal locations are areas where there is most favorable meteo-climatic conditions with areas of medium and lower values of Impact Index (vulnerability)."
Azzellino,2013,Optimal siting of offshore wind-power combined with wave energy through a marine spatial planning approach,,North Sea,Danish portion of the North Sea,,,,1,0,0,x,ECMWF data set,,,,,,,,,,,,,no,yes,yes,no,no,,,"Quantitative marine spatial planning (MSP) to see best location to reduce the least amount of power variability and the most power output; opportunity of co-locating offshore wind turbines and wave energy converters is analyzed using a MSP approach; used Pearson's correlation, PCA, K-means Cluster Analysis, and spatial analysis; results produced a cluster as the best areas for co-location is one that has a higher frequency of uncorrelated wind and wave conditions and lower relevance for the ship traffic and fisheries"
Banach,2020,Food safety during seaweed cultivation at offshore wind farms: An exploratory study in the North Sea,,North Sea,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
Bas et al,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Baltic Sea,Baltic Sea (Kriegers Flak),Baltic Sea,15 km,,12-15 m ,(depth of net cages for aquaculture),1,1,1,,,,,x,pg 35,,,"Discusses wind and aquaculture and env't separately:
Wind: section 3.2.3.1 ""In general, the establishment of offshore wind turbines can follow two different procedures: a government tender procedure run by the Danish Energy Agency; or an open-door procedure.""
Aquaculture: seciotn 3.2.3.2.
Environmental Concerns: section 3.2.3.3.","""The Danish Government provides the main conditions for offshore wind parks in the Promotion of Renewable Energy Act (Act no 1392 27th December 2008), and the Danish Electricity Act (Danish Energy Policy 2012).""",,"Wind: ""The total price of the wind farm is expected to be between 2.0 and 2.7 billion Euro, whereof the grid connection is budgeted at 0.47 billion Euro."" 
Salmon farming: ""in existing 3000 tons farms, production costs are 2.85 Euro per kg and it is expected to have slightly lower production costs in a larger farm, but also slightly higher cost of insurance. Expected revenues from famring is 36 million Euro per year."" section 3.4
Also discusses job creation.","Discusses ""vulnerable"" persons due to this project.","Public perception. NGOs are opposed to auqauculture (more so than wind) due to emission of nutrients and the interaction with habitats and species. Later discusses need for EIA report. Also, lack of data to complete full social cost benefit analysis.",yes,yes,no,no,no,Case study,no,MERMAID  project publication 
Benassai et al,2014,A Sustainability Index of potential co-location of offshore wind farms and open water aquaculture,,other,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,
Benjamins et. al,2020,Integrating Wind Turbines and Fish Farms: An Evaluation of Potential Risks to Marine and Coastal Bird Species,,North Sea,Coastal waters of western and northern Scotland,,,,1,0,0,,,,,,,,,,,,,,,yes,yes,no,no,no,,,Thought experiment to assess potential for increased collision risks to local marine and coastal bird species due to integration of small wind turbines; Used a sensitivity index with 12 factors and found that large gulls and European shag are at greatest potential risk; 
Bocci et al,2019,Multi-use of the sea: A wide array of opportunities from site-specific cases across Europe,Europe (variable),other,variable,,,,0,1,1,,,,,,,,,Drivers listed but NO barriers,"""the existence of a legal, regulatory and planning framework supporting and enabling MU is a key component for real MU development and operation.""",,NOT EXACT #. but drivers and barriers noted,,most social barriers were linked to aquaculture,yes,yes,yes,yes,yes,Recommendations,,
Bonnevie et al,2019,Assessing use-use interactions at sea: A theoretical framework for spatial decision support tools facilitating co-location in maritime spatial planning,EU,n/a,,,,,1,0,1,,,,,,,,,,,,,"""positive user"" effects of shared visitor or shared staff",,yes,no,no,no,yes,Recommendations,“the same sea area can have simultaneously more than one use”,Great and thorough definition of co-location and the other terms (section 2.1). Other conclusions are generally vague
Buck et al,2008,Meeting the quest for spatial efficiency: progress and prospects of extensive aquaculture within offshore wind farms,North Sea,North Sea,>12 nm,,,,0,0,1,,,,,,,,,,,,NOT EXACT #. Generally calls for economic data and ntoes that economic feasibility will be key for utilizing joint activities,Thorough stakeholder pros listed in table 2,Thorough stakeholder cons listed in table 2,yes,yes,no,no,no,,,stakeholder survey and recommendations
Buck et al ,2004,Extensive open ocean aquaculture development within wind farms in Germany: the prospect of offshore co-management and legal constraints,German North Sea,North Sea,,,,,0,1,1,,,,,,,,,"to date, seems to be granting permits on a case-by-case basis ","distinction between EEZ and state waters
Table 1 gives extensive regulatory framework",legislative uncertaininties seem to be major drawback,,"potential to foster alliances between state and federal conservation organizations, fishers, and farmers. Economic cooperation",maritime traffic,yes,yes,no,no,no,Recommendations,,
Buhagiar et al,2019,Small-scale Experimental Testing of a Novel Marine Floating Platform with Integrated Hydro-pneumatic Energy Storage,,Mediterranean Sea,,,8 m,,1,0,1,,,x,pg 7,,,,,,,,,,,no,yes,yes,yes,yes,,,
Calado et al,2019,Multi-uses in the Eastern Atlantic: Building bridges in maritime space,East Atlantic,Iberian Coastal,variable,,,,0,1,1,,,,,,,,,Calls for MSP and maritime planning ,"""In other cases, despite national legislation and marine plans not addressing the MU concept, some sectoral strategic documents refer to the combination of activities or synergies amongst users. An example is the Irish Offshore Renewable Development Plan (Irish Government/ Department of Communications Energy and Natural Resources, 2014), which sets forward a list of project-level mitigation measures addressing interactions with other maritime users""",need for international collaboration,,calls for early stakeholder engagement,conflicts with maritime activities,yes,yes,yes,yes,yes,Recommendations,,
Cao et al,2017,Hybrid renewable energy system for ocean going platforms,,n/a,,,,,1,0,1,x,pg 2,,,,,,,,,,,,,no,yes,yes,no,yes,,,
Castro-Santos et al,2017,Economic comparison of technological alternatives to harness offshore wind and wave energies,,n/a,,,,,0,0,1,,,,,,,,,,,,"Total cost outlined in Table 7. CO-locating is more efficient that other optionns, besides just wind turbines",,,no,yes,yes,no,no,,,distinguishes hybrid sysytem from co-located systems
Christie et al,2014,Co-location of activities and designations: A means of solving or creating problems in marine spatial planning?,UK Waters,other,,,,,0,1,0,,,,,,,,,"Crown Estate is responsible for leasing the seabed, under MarineManagement Organisation (MMO) for licensing",Marine and Coastal Access Act 2009,leasing seabed beyond 12 nm is unclear,,,,yes,yes,no,no,no,Legal review,concurrent activities in time or space,Also review MPAs and fishing being co-located with wind but we dont care about those
Clark et al,2019,An analytical cost model for co-located floating wind-wave energy arrays,North Sea,North Sea,300 km,,,,0,0,1,,,,,,,,,,,,"Fig 7. shows ~75-79 $/kMh , less than either cost individually",,,no,yes,yes,no,no,Modelling,,MARINA Project
Cradden et al,2016,Multi-criteria site selection for offshore renewable energy platforms,,other,,,>250 m,,1,0,1,x,pg 793,,,,,,,,,,,,,no,yes,yes,no,no,,,
Depellegrin et al,2019,Exploring Multi-Use potentials in the Euro-Mediterranean sea space,Euro-Mediterranean sea,Mediterranean Sea,,,,,1,0,1,,,,,,,,,,,,NOT EXACT # but lists 'cost' as an added value to multi-use systems,,"lack of funding, fishers",yes,yes,no,no,yes,,The joint use of resources in close geographic proximity. This can involve either a single user or multiple users performing multiple uses.,Definition was grounded by expert group in a workshop
Elginoz & Bas,2017,Life Cycle Assessment of a multi-use offshore platform: Combining wind and wave energy,,n/a,Cantabrian Sea,3-13 km,,,1,0,0,,,,,,,x,environmental impacts,,,,,,,no,yes,yes,no,no,,,"Investigating novel semi-submersible floating platform in terms of environmental sustinability and determine life cycle environmental impacts of a floating MUP; Uses Life Cycle Assessment (LCA) to specify environmental impacts of a product/function during its life from cradle grave; LCA is mainly product orienting and might be used for product improvement or comparison of products/functions as well as during decisions of making processes; Manufacturing of fixed parts is highest contributor to environmental impacts followed by manufacturing moving parts; MUP requires high recycling rates that cannot be met in the future (90% recycling ratios); Evaluated location on environmental burdens of multi-use semi-submersible OWT WEC platform; Implementing MUP of interest to different offshore locations resulted in varied environmental impacts depending on change in capacity factor, change in distances from manufacturing site and installation site; Meterial consumption is the main source for burdens during the life cycle (probably why they need high recycling rates)"
Fenu et al,2020,Analysis of a Gyroscopic-Stabilized Floating Offshore Hybrid Wind-Wave Platform,,North Sea,,,,,0,0,1,,,,,,,,,,,,,,,no,yes,yes,no,no,,,
Flikkema and Waals,2019,Space@Sea the Floating Solution,"North Sea, Mediterranean",other,,"<20nmn, 60km",,,0,0,1,,,,,,,,,,,,,conducted for understanding inhabitant needs,need for regluations,yes,no,no,no,yes,,,
Garcia et. al,2011,Hydro-Wind Kinetics Integrated Module for the Renewable Energy Generation,,Mediterranean Sea,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,orphan
Gaughan and Fitzgerald,2020,An assessment of the potential for Co-located offshore wind and wave farms in Ireland,Atlantic Ocean,Celtic Biscay Shelf,,,,,1,0,1,x,Irish Marine Weather Buoy Network (IMWBN); OCEANOR Wavesense wave sensor and data-logger,x,Irish Marine Weather Buoy Network (IMWBN),,,,,,,,"NOT EXACT # but says that wind/wave combinations could reduce capital costs by 12-14% and reduce O&M costs by 250,000 euros a year",,,no,yes,yes,no,no,,,
Gimple et al,2015,A GIS modelling framework to evaluate marine spatial planning scenarios: Co-location of offshore wind farms and aquaculture in the German EEZ,North Sea,North Sea,,,"0-10 m, 10-20 m",Page 109 (paragraph 2 looks at optimal depths for different species of farmed seafood),1,0,1,x,"Weisse R, Plüβ A. Storm-related sea level variations along the North Sea coast as simulated by a high-resolution model 1958-2002",x,"Max Troell, Alyssa Joyce, Thierry Chopin, Amir Neori, Alejandro H. Buschmann, Jian-Guang Fang, Ecological engineering in aquaculture — Potential for integrated multi-trophic aquaculture (IMTA) in marine offshore systems",,,x,page 104 & 106,,,,,,,yes,yes,no,no,no,,,
Green at al,2019,Enabling Power at Sea: Opportunities for Expanded Ocean Observations through Marine Renewable Energy Integration,,other,,,,,0,0,1,,,,,,,,,,,,,ocean observation stakeholders,,yes,no,yes,yes,yes,stakeholder survey,,interviews regarding potential benefits of powering ocean observing with MRE
Jahangir et al,2020,Feasibility study of a zero emission PV/Wind turbine/Wave energy converter hybrid system for stand-alone power supply: A case study,"Persian Gulf, the Gulf of Oman, and the Caspian Sea",Arabian Sea,,,,,1,0,1,"1.55 m (Anzali City), 1.21 m (Genaveh City), 0.825 m (Jask City)",pg. 6 (all are approximations and average was calculated,,,,,x,pg. 17 (table with amount of pollutants produced by MUPs),,,,Costs vary based on location (33.7-39.6M$ IC(?)) but optimal configurations are all photo/wind/battery and Pelamis wave convereted increases economic efficiency even more,,,no,yes,yes,no,yes,,,
Jansen et al ,2016,The feasibility of offshore aquaculture and its potential for multi-use in the North Sea,Dutch North Sea,North Sea,variable,,11-40 m,"required depths for: mussel (>20 m), seaweed (>5-8 m)",1,1,1,12 m,max height for North Sea,6- 18 °C,temp range in North Sea,,,</= 20 μg/1,pg 736 (max 20 μg/1),"""This requires the support of long-term investment potential, and long-term licensing and policies.""",,"""Despite the interest in combining functions in policy documents (MIE 2014), laws and regulations do not foresee in such combinations. Until recently, the concessions granted to offshore wind park operators made co-use illegal.""",,Best case scenario for stakeholder support would be to utilize co-management (concept of a covenant),,yes,yes,no,no,yes,Recommendations,no,Calls on the Dutch gov't to create these opportunites through subsities and MSP and co-management
Koundouri et al,2017,Introduction to the MERMAID Project,European seas (4 sites),other,,,,,1,0,1,,,,,,,,,,,,"NOT EXACT # ""Economic efficiency satisfies the condition that the marginal (social) cost of each production activity under consideration equals the respective marginal (social) benefit.""","""Involving different stakeholders has shared and increased knowledge on the difficulties with regards to the development and implementation of MUΟPs.""",,yes,yes,yes,yes,yes,,,MERMAID
Koundouri et al,2017,Methodology for Integrated Socio-economic Assessment of Multi-use Offshore Platforms,European seas,other,,,,,0,0,1,,,,,,,,,,,,,,,yes,yes,yes,no,no,,,MERMAID
Koundouri et al,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,16 km,,16 m,pg 89 (depth of site is 16 m),1,1,1,1.25 m,pg 89 ( 1.25 m),x,pg 89 (14 +/- 6 °C),x,pg 93 (concerns of aquaculture biodiversity),x,"pg 90, 93-95 (concerns of nutrient loading into environment due to aquaculture farms)",,"Lists organizations of both aquaculture and offshore energy (Sections 6.2.3.1 and 6.2.3.2)
""It has to be stressed that aquaculture in the European Union (EU) is regulated by strict laws.""
","no regional or national legislation regulating renewable offshore energy in the region. No national or regional legislation exists to regulate subsidies for such
a project. Unlike other energy sectors, wind energy generation is at an early stage of
development and there is no established industry consensus on codes and
standards.","""The Northern Adriatic Sea site’s wind-fish farm requires 44 million euros for the establishment of the wind farm and it is expected to produce 1 million euros per year for 20 GWh per year in energy extraction. However, no more information is available. Hence, it was not possible to run the social cost benefit analysis for this function.""
""Given the current market status (prices, days payable/receivable etc) the total fish farming investment is estimated at 18.8 million euros and is expected to break even at year 13""","Discusses ""vulnerable"" persons due to this project: coastal communities of Venice, energy industry suppliers, transportation industry, machinery industry, etc","Environmental impacts (table 6.3 and 6.4)
ALSO seems that this analysis yielded that this multi use solution was not viable: ""Our preliminary, although tentative, analysis suggests that in the short term using a multi-use design with wind energy and fish production would be financially not sustainable, due to both low energy and fish production, and would bear high environmental risks. However, in the long-run, coastal and marine spaces might become more limited, and then going offshore will become more important to avoid unplanned and crowded uses in the future.""",yes,yes,yes,no,no,Case study,no,MERMAID  project publication. Somewhat negative for co-location of fish farming. WOuld still need subsidies 
Koundouri et. al,2017,Introduction to the MERMAID Project,,other,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
Kularathna et al,2019,Evaluation of Co-Existence Options of Marine Renewable Energy Projects in Japan,Japanese Seas,other,,,,,0,0,1,,,,,,,,,,,,,based on level of impact to daily lives. Calls for early engagement with community. Fishers preferrred the option to share oceanographic data.,,no,yes,no,yes,no,stakeholder survey,,
Kushwaha et. al,2020,Stability assessment and robust controller design of grid interactive offshorewind farm and marine current farm with STATCOM and BFCL,,n/a,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,orphan
Lacroix and Pioch,2011,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,Global,n/a,,,,,0,1,1,,,,,,,,,,,,,,"""Not In My Backyard"" (NIMBY) effect",yes,yes,no,no,yes,Review and recommendations,no,"Fairly anecdotal; likely due to being 10 years old. TOuches on a lot of topics but doesn't have much data or make many serious claims but author has lots of ""ideas"""
Lagasco et al.,2019,NEW ENGINEERING APPROACH FOR THE DEVELOPMENT AND DEMONSTRATION OF A MULTI-PURPOSE PLATFORM FORTHE BLUE GROWTH ECONOMY,,n/a,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,orphan
Lande-Sudal et al,2019,Co-located deployment of offshore wind turbines with tidal stream turbine arrays for improved cost of electricity generation,North Sea,North Sea,,,,,0,0,1,,,,,,,,,,,,NOT EXACT # Levelised cost of entry is 10-12% lower with co-location of wind and tidal,,,no,yes,no,yes,no,,,
Lande-Sudal et al,2018,Co-located offshore wind and tidal stream turbines: Assessment of energy yield and loading,,North Sea,,,,,1,0,1,,,,,,,,,,,,n/a,n/a,n/a,no,yes,no,yes,no,,,
Le Heron et al,2016,Non-sectarian scenario experiments in socio-ecological knowledge building for multi-use marine environments: Insights from New Zealand's Marine Futures project,New Zealand,New Zealand Shelf,,,,,0,1,1,,,,,,,,,current frameworks are failing ,,,,Supportive if there is bottom-up trust and management,Property rights,no,no,no,no,no,Stakeholder assessment,no,Used a workshop to gather insights from stakeholders and the public
Legorburu et al,2018,Multi-use maritime platforms - North Sea oil and offshore wind: Opportunity and risk,North Sea,North Sea,,,>60 m,"pg 79 (depth map), 80 (mean depth of existing farms)",1,0,1,,,,,,,,,,,,,,Market between sectors will need lots of coordination,no,yes,no,no,yes,,no,
Lopez et al,2020,Combined Floating Offshore Wind and Solar PV,Bay of Biscay,Iberian Coastal,,,,,0,0,1,,,,,,,,,,,,NOT EXACT # but discusses reduces O&M costs,,,no,yes,no,no,yes,,,
Macadre et al,2014,Risk-Based Approach for the Development of Guidelines and Standards on Combined Marine Renewable Energy Platforms,European Seas,n/a,,,,,0,1,0,,,,,,,,,"Standards to be produced (IEC 62600 series under construction) will address such different fields as system definition, performance measurements, resource assessment requirements, safety requirements, power quality, manufacturing and factory testing, environmental impacts etc",,no standards have been written on MRE combined platforms,,,,no,yes,yes,no,no,Risk and recommendations,,
Maisondieu and Heal,2015,The impact of the MARINET initiative on the development of Marine Renewable Energy,,n/a,,,,,0,1,1,,,,,,,,,,,,,,,no,yes,yes,yes,no,,,The MARINET initiative
Malhouni and Boudi,2014,Modeling of hybrid system combining an offshore wind turbine and an Oscillating Water Column system,,n/a,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,orphan
Michailides et al,2016,Experimental and numerical study of the response of the offshore combined wind/wave energy concept SFC in extreme environmental conditions,,n/a,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Michler-Cieluch and Krause,2009,Reflections on integrating operation and maintenance activities of offshore wind farms and mariculture,North Sea,North Sea,,,,,0,0,1,,,,,,,,,,,,NOT EXAACT # discusses cost savings and the importance of saving money on O&M costs,Supported by both sector stakeholders becuase of cost savings,,yes,yes,no,no,no,Recommendations,,
Michler-Cieluch and Krause,2008,Perceived concerns and possible management strategies for governing �wind farm�mariculture integration�,German North Sea,North Sea,,,,,0,1,1,,,,,,,,,,,lots of uncertainty about lack of management across sectors ,,uncertainty,"biological, technical and economic concerns and hesitency",yes,yes,no,no,no,Stakeholder assessment,no,Semi-structured interviews of OWF sector and aquaculture sector along North Sea
Mohammed et al,2018,Economical Evaluation and Optimal Energy Management of a Stand-Alone Hybrid Energy System Handling in Genetic Algorithm Strategies,Brittany (coastal),Celtic Biscay Shelf,,,,,0,0,1,,,,,,,,,,,,model reflects that optimum cost of energy at this location is wind/battery hybrid system,,environmental variability affects economic efficiency,no,yes,no,yes,yes,Recommendations,no,intelligent algorithm was developed and used to optimize energy management of this hybrid energy system
