"","lme","count"
"1","Arabian Sea",1
"2","Baltic Sea",9
"3","California Current",1
"4","Canary Current",1
"5","Celtic Biscay Shelf",12
"6","Celtic-Biscay Shelf",1
"7","East China Sea",2
"8","Faroe Plateau",1
"9","Gulf of Alaska",1
"10","Gulf of California",1
"11","Gulf of Mexico",2
"12","Iberian Coastal",11
"13","Mediterranean Sea",17
"14","NE U.S. Continental Shelf",2
"15","New Zealand Shelf",1
"16","None",21
"17","North Sea",34
"18","Norwegian Shelf",1
"19","SE U.S. Continental Shelf",1
"20","Sea of Japan",1
"21","South China Sea",1
"22","West-Central Australian Shelf",1
